Id,Label,timeset,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,clustering,triangles,eigencentrality
Pranela Rameshwar,Pranela Rameshwar,,4,8,2,0.583333,0.642857,0,0,0,0,0.00186,0,1,6,0.026809
Indra Smith,Indra Smith,,4,8,2,0.583333,0.642857,0,0,0,0,0.00186,0,1,6,0.026809
Norman Ende,Norman Ende,,14,24,1,1,1,85,0,0,0,0.007528,0,0.065934,6,0.049139
Hani E Batarseh,Hani E Batarseh,,4,8,2,0.583333,0.642857,0,0,0,0,0.00186,0,1,6,0.026809
Nicholas M Ponzio,Nicholas M Ponzio,,4,8,2,0.583333,0.642857,0,0,0,0,0.00186,0,1,6,0.026809
Jong Yoon,Jong Yoon,,2,2,3,0.448276,0.512821,0,0,0,31,0.001235,1,1,1,0.008661
Vijay Raghavan,Vijay Raghavan,,6,6,3,0.52,0.666667,42,0,0,31,0.003786,1,0.066667,1,0.014763
Larry Kerschberg,Larry Kerschberg,,4,9,2,0.590909,0.653846,42,0,0,31,0.002269,1,0.333333,2,0.015824
Benjamin E. Wolfe,Benjamin E. Wolfe,,4,4,2,0.558824,0.605263,3.75,0,0,1,0.001932,2,0.833333,5,0.029295
Jeri L. Parrent,Jeri L. Parrent,,4,4,2,0.558824,0.605263,3.75,0,0,1,0.001932,2,0.833333,5,0.029295
Alexander M. Koch,Alexander M. Koch,,4,4,3,0.395833,0.482456,1.5,0,0,1,0.001921,2,0.5,3,0.021285
Benjamin A. Sikes,Benjamin A. Sikes,,18,24,2,0.95,0.973684,162.5,0,0,1,0.010281,2,0.019608,3,0.064423
Monique Gardes,Monique Gardes,,4,4,2,0.558824,0.605263,3.75,0,0,1,0.001932,2,0.833333,5,0.029295
John F. Harms,John F. Harms,,8,13,1,1,1,28,0,0,2,0.006104,3,0,0,0.016554
Danny R. Welch,Danny R. Welch,,1,6,2,0.533333,0.5625,0,0,0,2,0.000865,3,0,0,0.005126
Aristides Dikos,Aristides Dikos,,3,3,4,0.413043,0.464912,0,0,0,3,0.001643,4,1,3,0.058005
Peter C. Nelson,Peter C. Nelson,,40,59,3,0.662791,0.815789,1451.5,0,0,3,0.023707,4,0.008974,7,0.251317
Thomas M. Tirpak,Thomas M. Tirpak,,8,16,4,0.428571,0.508772,115.5,0,0,3,0.004299,4,0.214286,6,0.081788
Weihsin Wang,Weihsin Wang,,3,3,4,0.413043,0.464912,0,0,0,3,0.001643,4,1,3,0.058005
Kenichi Kimura,Kenichi Kimura,,12,12,5,0.342466,0.4515,388.730882,0,0,4,0.003932,5,0.333333,22,0.26348
David A Low,David A Low,,9,11,5,0.333333,0.428167,230.379709,0,0,4,0.002987,5,0.388889,14,0.209801
David M Keller,David M Keller,,6,10,6,0.266667,0.342,2.347076,0,0,4,0.001971,5,0.666667,10,0.117109
Scott L Davis,Scott L Davis,,12,16,6,0.271003,0.372,490.130409,0,0,4,0.004522,5,0.151515,10,0.146931
Craig G Crandall,Craig G Crandall,,5,5,6,0.266667,0.338667,5.182668,0,0,4,0.00168,5,0.7,7,0.100599
Brian Looney,Brian Looney,,2,2,3,0.393939,0.461538,0,0,0,5,0.001315,6,1,1,0.006253
Joshua Birkebak,Joshua Birkebak,,2,2,3,0.393939,0.461538,0,0,0,5,0.001315,6,1,1,0.006253
P. Brandon Matheny,P. Brandon Matheny,,4,10,2,0.590909,0.653846,50,0,0,5,0.002536,6,0.166667,1,0.012923
Michael L. Barnett,Michael L. Barnett,,34,53,6,0.318471,0.501333,2672.5,0,0,17,0.022545,6,0,0,0.16456
Gloria Cahill,Gloria Cahill,,1,4,7,0.242131,0.303833,0,0,0,17,0.00078,5,0,0,0.027259
Peiying Li,Peiying Li,,20,32,3,0.568345,0.624473,327.899495,0.30516,0.30516,27,0.007757,7,0.184211,35,0.481145
Yu Gan,Yu Gan,,8,9,3,0.519737,0.546414,42.463636,0.194899,0.194899,27,0.003,7,0.571429,16,0.307032
Leilei Mao,Leilei Mao,,8,10,3,0.512987,0.542194,47.222222,0.184068,0.184068,27,0.00307,7,0.464286,13,0.289948
Rehana Leak,Rehana Leak,,10,12,4,0.383495,0.441983,90.834848,0.152989,0.152989,27,0.003816,7,0.177778,8,0.23751
Jun Chen,Jun Chen,,6,15,3,0.51634,0.535865,52.882828,0.167939,0.167939,27,0.0023,7,0.666667,10,0.264852
Sanae Inagami,Sanae Inagami,,4,4,4,0.495575,0.52381,16.875,0,0,15,0.001878,8,0.666667,4,0.097206
Deborah A. Cohen,Deborah A. Cohen,,12,20,3,0.54902,0.60119,403.375,0,0,15,0.005869,8,0.121212,8,0.135432
Brian Karl Finch,Brian Karl Finch,,38,66,4,0.643678,0.803571,1052,0,0,15,0.019138,8,0.007112,5,0.301214
Steven M. Asch,Steven M. Asch,,3,3,4,0.459016,0.491071,0,0,0,15,0.00146,8,1,3,0.072539
Enrique Diaz-Guzman,Enrique Diaz-Guzman,,25,58,2,0.903226,0.946429,364,0,0,6,0.015324,9,0.006667,2,0.101121
Shambhu Aryal,Shambhu Aryal,,5,14,3,0.538462,0.583333,53.5,0,0,6,0.003062,9,0.2,2,0.03255
David M. Mannino,David M. Mannino,,2,16,3,0.509091,0.529762,0,0,0,6,0.001258,9,1,1,0.02511
William E. Mayo,William E. Mayo,,4,4,4,0.465116,0.554167,0,0,0,7,0.001905,10,1,6,0.02894
Zwi Kalman,Zwi Kalman,,4,4,4,0.465116,0.554167,0,0,0,7,0.001905,10,1,6,0.02894
Mark C. Croft,Mark C. Croft,,5,5,3,0.526316,0.6,75,0,0,7,0.00242,10,0.6,6,0.031196
Joseph Wilder,Joseph Wilder,,15,16,4,0.625,0.829167,154,0,0,7,0.008236,10,0.057143,6,0.054556
Richard Mammone,Richard Mammone,,4,4,4,0.465116,0.554167,0,0,0,7,0.001905,10,1,6,0.02894
Tanya Michelle Ramond,Tanya Michelle Ramond,,3,3,5,0.36747,0.42377,0,0,0,20,0.001625,11,1,3,0.041614
Carl Weimer,Carl Weimer,,5,5,4,0.455224,0.505464,225.5,0,0,20,0.002634,11,0.4,4,0.067279
Michael Andrew Lefsky,Michael Andrew Lefsky,,28,34,5,0.432624,0.628689,1032.5,0,0,20,0.016234,11,0.007937,3,0.147679
Leslie F. Ruppert,Leslie F. Ruppert,,1,1,6,0.271111,0.299727,0,0,0,20,0.000685,11,0,0,0.007184
B. Donley,B. Donley,,4,4,5,0.369697,0.431967,60,0,0,20,0.0022,11,0.5,3,0.043319
William W. Adams,William W. Adams,,48,96,3,0.846154,0.927273,1435.75,0,0,8,0.030364,12,0,0,0.330007
Barbara Demmig-Adams,Barbara Demmig-Adams,,5,29,2,0.52381,0.545455,185,0,0,8,0.002922,12,0,0,0.062808
Suman Das,Suman Das,,1,2,1,1,1,0,0,0,9,0.001447,13,0,0,0.001526
Diane J. Cook,Diane J. Cook,,1,2,1,1,1,0,0,0,9,0.001447,13,0,0,0.001526
Barry A. Garst,Barry A. Garst,,8,15,3,0.652174,0.755556,31.833333,0,0,10,0.003679,13,0.178571,5,0.036084
Sarah Baughman,Sarah Baughman,,12,24,2,0.833333,0.9,66.333333,0,0,10,0.005411,13,0.136364,9,0.050346
Nancy K. Franz,Nancy K. Franz,,2,8,3,0.517241,0.555556,0,0,0,10,0.000991,14,1,1,0.017619
Michel Cukier,Michel Cukier,,5,9,4,0.452174,0.508013,18,0,0,11,0.002444,14,0.5,5,0.073008
Jennifer Ren,Jennifer Ren,,4,6,4,0.448276,0.498397,16,0,0,11,0.001959,15,0.666667,4,0.065625
Paul Rubel,Paul Rubel,,5,8,4,0.452174,0.508013,16.25,0,0,11,0.002386,14,0.7,7,0.074927
David E. Bakken,David E. Bakken,,42,77,3,0.753623,0.88141,1276.25,0,0,11,0.025085,14,0.006969,6,0.271897
David A. Karr,David A. Karr,,4,11,4,0.448276,0.498397,0.25,0,0,11,0.001962,15,0.833333,5,0.07053
Isabel K. Darcy,Isabel K. Darcy,,2,2,2,0.52381,0.545455,0,0,0,14,0.001371,16,1,1,0.019367
Stephen D. Levene,Stephen D. Levene,,22,28,1,1,1,230,0,0,14,0.014782,15,0.004329,1,0.075922
Robert G. Scharein,Robert G. Scharein,,2,2,2,0.52381,0.545455,0,0,0,14,0.001371,16,1,1,0.019367
John Wall,John Wall,,7,7,1,1,1,20,0,0,23,0.004798,16,0.047619,1,0.015209
William Schweiker,William Schweiker,,2,2,2,0.583333,0.642857,0,0,0,23,0.001391,17,1,1,0.007331
W. David Hall,W. David Hall,,2,2,2,0.583333,0.642857,0,0,0,23,0.001391,17,1,1,0.007331
Lynn Zechiedrich,Lynn Zechiedrich,,1,1,2,0.511628,0.522727,0,0,0,14,0.000788,16,0,0,0.01525
David Low,David Low,,5,9,6,0.265252,0.335333,29.930869,0,0,4,0.001745,5,0.5,5,0.08055
David Keller,David Keller,,2,7,7,0.21322,0.257714,0,0,0,4,0.000817,5,1,1,0.024151
Scott Davis,Scott Davis,,8,11,6,0.26455,0.343667,179.911195,0,0,4,0.00285,5,0.107143,3,0.108638
Chad A. Williams,Chad A. Williams,,1,1,4,0.401408,0.44152,0,0,0,3,0.000721,4,0,0,0.037291
Jian Cui,Jian Cui,,7,23,5,0.3367,0.4265,218.794165,0,0,4,0.002392,5,0.333333,7,0.186831
Rehana K. Leak,Rehana K. Leak,,69,112,3,0.849462,0.92827,2830.698485,0.610177,0.610177,27,0.035673,7,0.009378,22,1
Zheng Jing,Zheng Jing,,1,1,4,0.461988,0.481013,0,0.065337,0.065337,27,0.000657,7,0,0,0.107715
Xiaoming Hu,Xiaoming Hu,,5,7,3,0.512987,0.529536,51.549495,0.148229,0.148229,27,0.001973,7,0.6,6,0.234814
Yanqin Gao,Yanqin Gao,,4,5,3,0.509677,0.523207,51.216162,0.12736,0.12736,27,0.001655,7,0.5,3,0.203189
Vicraj T. Thomas,Vicraj T. Thomas,,1,1,4,0.433333,0.466346,0,0,0,11,0.000725,15,0,0,0.039689
Hen-Ming Wu,Hen-Ming Wu,,1,1,2,0.511628,0.522727,0,0,0,14,0.000788,16,0,0,0.01525
D. Phuong Do,D. Phuong Do,,2,8,4,0.46281,0.488095,12.375,0,0,15,0.001048,8,0,0,0.068745
Ricardo Basurto-Davila,Ricardo Basurto-Davila,,1,2,5,0.394366,0.437202,0,0,0,15,0.000645,8,0,0,0.041039
Chloe E. Bird,Chloe E. Bird,,2,6,4,0.46281,0.488095,12.375,0,0,15,0.001048,8,0,0,0.068745
Jose J. Escarce,Jose J. Escarce,,1,1,5,0.394366,0.437202,0,0,0,15,0.000645,8,0,0,0.041039
Scott Lael Powell,Scott Lael Powell,,1,1,6,0.303483,0.365301,0,0,0,20,0.00071,11,0,0,0.024034
Nick Lyman,Nick Lyman,,1,1,6,0.303483,0.365301,0,0,0,20,0.00071,11,0,0,0.024034
Mark E. Berman,Mark E. Berman,,1,1,4,0.433333,0.466346,0,0,0,11,0.000725,15,0,0,0.039689
James Megquier,James Megquier,,2,3,4,0.440678,0.479167,0,0,0,11,0.00114,15,1,1,0.050232
Bonnie J. Miller-McLemore,Bonnie J. Miller-McLemore,,1,1,2,0.538462,0.571429,0,0,0,23,0.0008,17,0,0,0.004741
Jong P. Yoon,Jong P. Yoon,,3,8,3,0.481481,0.564103,3.5,0,0,31,0.001716,1,0.666667,2,0.012138
Scott R. Saleska,Scott R. Saleska,,1,1,6,0.303483,0.365301,0,0,0,20,0.00071,11,0,0,0.024034
Yosio Edemir Shimabukuro,Yosio Edemir Shimabukuro,,1,1,6,0.303483,0.365301,0,0,0,20,0.00071,11,0,0,0.024034
Dalton de Morisson Valeriano,Dalton de Morisson Valeriano,,1,1,6,0.303483,0.365301,0,0,0,20,0.00071,11,0,0,0.024034
Anjan Bose,Anjan Bose,,2,7,3,0.5,0.512821,352,0,0,11,0.001323,15,0,0,0.045325
J. Shovic,J. Shovic,,1,1,4,0.433333,0.466346,0,0,0,11,0.000725,15,0,0,0.039689
Peter C Nelson,Peter C Nelson,,5,6,4,0.35625,0.397661,218,0,0,13,0.003544,17,0,0,0.015753
James Haran,James Haran,,1,1,5,0.263889,0.283333,0,0,0,13,0.000819,4,0,0,0.004189
John Dillenburg,John Dillenburg,,4,5,3,0.508929,0.52924,696,0,0,13,0.002541,4,0,0,0.050009
John J. Battles,John J. Battles,,1,1,6,0.303483,0.365301,0,0,0,20,0.00071,11,0,0,0.024034
Kristen M. Waring,Kristen M. Waring,,2,2,4,0.442029,0.478142,108.5,0,0,20,0.00121,11,0,0,0.047684
P. Gonzalez,P. Gonzalez,,1,1,6,0.303483,0.365301,0,0,0,20,0.00071,11,0,0,0.024034
C. Ryan Zarter,C. Ryan Zarter,,1,2,4,0.462185,0.483333,0,0,0,8,0.000754,12,0,0,0.046615
Kristine E. Mueh,Kristine E. Mueh,,1,2,4,0.462185,0.483333,0,0,0,8,0.000754,12,0,0,0.046615
Vâ€™eronique Amiard,Vâ€™eronique Amiard,,1,1,4,0.462185,0.483333,0,0,0,8,0.000754,12,0,0,0.046615
Brian K. Finch,Brian K. Finch,,24,30,3,0.504505,0.645833,542.5,0,0,15,0.011382,8,0.01087,3,0.202441
Robert A. Hummer,Robert A. Hummer,,2,7,4,0.46281,0.488095,12.375,0,0,15,0.001048,8,0,0,0.068745
Scott L. Davis,Scott L. Davis,,45,124,4,0.440529,0.631667,3771.407114,0,0,4,0.020302,5,0.028283,28,0.526079
Manabu Shibasaki,Manabu Shibasaki,,5,15,5,0.334448,0.4165,181.210703,0,0,4,0.001816,5,0.3,3,0.154013
David A. Low,David A. Low,,17,73,5,0.340136,0.464833,377.841906,0,0,4,0.00608,5,0.176471,24,0.303677
David M. Keller,David M. Keller,,8,36,5,0.330033,0.419833,8.679079,0,0,4,0.002716,5,0.535714,15,0.221135
W. W. Adams,W. W. Adams,,18,27,1,1,1,153,0,0,12,0.012756,18,0,0,0.053349
B. Demmig-Adams,B. Demmig-Adams,,1,6,2,0.514286,0.527778,0,0,0,12,0.000819,18,0,0,0.011797
Sunyoung Lee,Sunyoung Lee,,1,3,7,0.242131,0.303833,0,0,0,17,0.00078,5,0,0,0.027259
Yongli Zhang,Yongli Zhang,,1,1,2,0.511628,0.522727,0,0,0,14,0.000788,16,0,0,0.01525
Nina T. Bhatti,Nina T. Bhatti,,1,1,4,0.433333,0.466346,0,0,0,11,0.000725,15,0,0,0.039689
Matti A. Hiltunen,Matti A. Hiltunen,,1,1,4,0.433333,0.466346,0,0,0,11,0.000725,15,0,0,0.039689
Richard D. Schlichting,Richard D. Schlichting,,2,3,4,0.440678,0.479167,51,0,0,11,0.001423,15,0,0,0.041707
Melissa A. Korkmas,Melissa A. Korkmas,,1,1,5,0.306748,0.364,0,0,0,4,0.000601,5,0,0,0.062425
Craig G. Crandall,Craig G. Crandall,,5,24,5,0.326797,0.404833,0.861111,0,0,4,0.001775,5,0.8,8,0.171258
Elliot M. Frohman,Elliot M. Frohman,,1,4,5,0.306748,0.364,0,0,0,4,0.000601,5,0,0,0.062425
Weidong Xiao,Weidong Xiao,,1,1,4,0.401408,0.44152,0,0,0,3,0.000721,4,0,0,0.037291
Thomas Michael Tirpak,Thomas Michael Tirpak,,1,1,4,0.401408,0.44152,0,0,0,3,0.000721,4,0,0,0.037291
Lawrence J. Henschen,Lawrence J. Henschen,,1,1,4,0.401408,0.44152,0,0,0,3,0.000721,4,0,0,0.037291
Aimee Bower,Aimee Bower,,3,4,4,0.491228,0.514881,12.375,0,0,15,0.001464,8,0.666667,2,0.087415
Narayan Sastry,Narayan Sastry,,3,4,4,0.491228,0.514881,12.375,0,0,15,0.001464,8,0.666667,2,0.087415
E. T. A. Mitchard,E. T. A. Mitchard,,1,1,6,0.303483,0.365301,0,0,0,20,0.00071,11,0,0,0.024034
Lynn R. Budgeon,Lynn R. Budgeon,,1,1,2,0.533333,0.5625,0,0,0,2,0.000865,3,0,0,0.005126
Neil D. Christensen,Neil D. Christensen,,1,1,2,0.533333,0.5625,0,0,0,2,0.000865,3,0,0,0.005126
Michael Lefsky,Michael Lefsky,,9,10,5,0.291866,0.384426,452,0,0,19,0.006292,19,0,0,0.022814
Michael Guzy,Michael Guzy,,1,1,6,0.226766,0.265301,0,0,0,19,0.000811,11,0,0,0.006061
T. M Tirpak,T. M Tirpak,,2,2,4,0.404255,0.450292,0,0,0,3,0.001254,4,1,1,0.044002
Wenwu Xiao,Wenwu Xiao,,2,2,4,0.404255,0.450292,0,0,0,3,0.001254,4,1,1,0.044002
R. Anne Stetler,R. Anne Stetler,,4,5,3,0.5,0.516878,12.555556,0.135265,0.135265,27,0.001629,7,0.666667,4,0.214318
Joshua M. Birkebak,Joshua M. Birkebak,,7,11,3,0.590909,0.730769,57,0,0,5,0.004894,20,0,0,0.015942
Carl H. Hauser,Carl H. Hauser,,1,8,4,0.433333,0.466346,0,0,0,11,0.000725,15,0,0,0.039689
Deborah A. Frincke,Deborah A. Frincke,,1,1,4,0.433333,0.466346,0,0,0,11,0.000725,15,0,0,0.039689
F. C Czygan,F. C Czygan,,1,1,2,0.514286,0.527778,0,0,0,12,0.000819,18,0,0,0.011797
Ute Schreiber,Ute Schreiber,,1,1,2,0.514286,0.527778,0,0,0,12,0.000819,18,0,0,0.011797
O. L. Lange,O. L. Lange,,1,2,2,0.514286,0.527778,0,0,0,12,0.000819,18,0,0,0.011797
David J. Roberts,David J. Roberts,,1,1,6,0.303483,0.365301,0,0,0,20,0.00071,11,0,0,0.024034
S. Bhowmik,S. Bhowmik,,1,1,4,0.433333,0.466346,0,0,0,11,0.000725,15,0,0,0.039689
Peter Nelson,Peter Nelson,,8,11,4,0.37013,0.432749,371,0,0,13,0.005571,21,0,0,0.023095
Abram Lipman,Abram Lipman,,1,3,5,0.271429,0.296491,0,0,0,13,0.000809,4,0,0,0.00582
Mary Arnold,Mary Arnold,,1,1,3,0.46875,0.5,0,0,0,10,0.0006,14,0,0,0.010147
Heather H. Boyd,Heather H. Boyd,,1,2,3,0.46875,0.5,0,0,0,10,0.0006,14,0,0,0.010147
June P. Mead,June P. Mead,,1,1,3,0.46875,0.5,0,0,0,10,0.0006,14,0,0,0.010147
Vijay V. Raghavan,Vijay V. Raghavan,,7,9,3,0.565217,0.717949,45.5,0,0,31,0.00415,22,0.095238,2,0.018598
Jerzy W. Grzymala-busse,Jerzy W. Grzymala-busse,,1,1,4,0.371429,0.435897,0,0,0,31,0.000721,1,0,0,0.00518
Qing-huo Liu,Qing-huo Liu,,1,1,4,0.371429,0.435897,0,0,0,31,0.000721,1,0,0,0.00518
Chris Smith,Chris Smith,,3,5,2,0.555556,0.6,2,0,0,10,0.001379,14,0.666667,2,0.023812
Brian Peters,Brian Peters,,3,5,2,0.555556,0.6,2,0,0,10,0.001379,14,0.666667,2,0.023812
John F. Dillenburg,John F. Dillenburg,,1,3,4,0.401408,0.44152,0,0,0,3,0.000721,4,0,0,0.037291
Nancy K. Franz Dr.,Nancy K. Franz Dr.,,2,2,3,0.517241,0.555556,0,0,0,10,0.000991,14,1,1,0.017619
Richard W. Seidel,Richard W. Seidel,,2,4,3,0.517241,0.555556,0,0,0,10,0.000991,14,1,1,0.017619
Paul J Fadel,Paul J Fadel,,1,1,7,0.213675,0.256048,0,0,0,4,0.000537,5,0,0,0.018509
Gina M Remington,Gina M Remington,,1,1,7,0.213675,0.256048,0,0,0,4,0.000537,5,0,0,0.018509
Melissa A Korkmas,Melissa A Korkmas,,1,1,7,0.213675,0.256048,0,0,0,4,0.000537,5,0,0,0.018509
Tadao Murata,Tadao Murata,,1,2,4,0.401408,0.44152,0,0,0,3,0.000721,4,0,0,0.037291
Onno Muller,Onno Muller,,2,4,4,0.478261,0.5,30.166667,0,0,8,0.001266,12,0,0,0.051568
Christopher M. Cohu,Christopher M. Cohu,,1,5,4,0.462185,0.483333,0,0,0,8,0.000754,12,0,0,0.046615
Peter C Nelson Ph.D.,Peter C Nelson Ph.D.,,2,2,4,0.343373,0.362573,56,0,0,13,0.001474,4,0,0,0.00986
Govindjee,Govindjee,,1,1,4,0.462185,0.483333,0,0,0,8,0.000754,12,0,0,0.046615
Timothy G. Pollock,Timothy G. Pollock,,1,6,7,0.242131,0.303833,0,0,0,17,0.00078,5,0,0,0.027259
Prasad Palacharla,Prasad Palacharla,,1,1,5,0.271429,0.296491,0,0,0,13,0.000809,4,0,0,0.00582
Janet Warpinski,Janet Warpinski,,1,1,4,0.401408,0.44152,0,0,0,3,0.000721,4,0,0,0.037291
C. H. Foyer,C. H. Foyer,,1,1,2,0.514286,0.527778,0,0,0,12,0.000819,18,0,0,0.011797
P. M. Mullineaux,P. M. Mullineaux,,1,1,2,0.514286,0.527778,0,0,0,12,0.000819,18,0,0,0.011797
Diem Phuong Do,Diem Phuong Do,,2,2,4,0.46281,0.488095,12.375,0,0,15,0.001048,8,0,0,0.068745
Teresa Seeman,Teresa Seeman,,2,3,4,0.46281,0.488095,12.375,0,0,15,0.001048,8,0,0,0.068745
Melonie Heron,Melonie Heron,,2,4,4,0.46281,0.488095,12.375,0,0,15,0.001048,8,0,0,0.068745
Tamara Dubowitz,Tamara Dubowitz,,1,1,5,0.394366,0.437202,0,0,0,15,0.000645,8,0,0,0.041039
Matthew F. Bumpus,Matthew F. Bumpus,,1,1,4,0.405405,0.45,0,0,0,10,0.000608,14,0,0,0.007472
Ryan J. Gagnon,Ryan J. Gagnon,,1,1,4,0.405405,0.45,0,0,0,10,0.000608,14,0,0,0.007472
Wolfgang Bilger,Wolfgang Bilger,,1,1,4,0.462185,0.483333,0,0,0,8,0.000754,12,0,0,0.046615
Feng Zhang,Feng Zhang,,5,10,3,0.512987,0.529536,51.549495,0.148229,0.148229,27,0.001973,7,0.6,6,0.234814
Hassan H. Sulaiman,Hassan H. Sulaiman,,2,2,3,0.490683,0.50211,0,0.098013,0.098013,27,0.000986,7,1,1,0.157736
Zhongfang Weng,Zhongfang Weng,,2,4,3,0.490683,0.50211,0,0.098013,0.098013,27,0.000986,7,1,1,0.157736
Teresa E. Seeman,Teresa E. Seeman,,1,1,5,0.394366,0.437202,0,0,0,15,0.000645,8,0,0,0.041039
Abolfazl Mohammadian,Abolfazl Mohammadian,,1,1,5,0.256757,0.270175,0,0,0,13,0.000844,4,0,0,0.002709
Audrey N. Beck,Audrey N. Beck,,2,3,4,0.46281,0.488095,12.375,0,0,15,0.001048,8,0,0,0.068745
Mary Beth Miele,Mary Beth Miele,,1,1,2,0.533333,0.5625,0,0,0,2,0.000865,3,0,0,0.005126
Abolfazl (Kouros) Mohammadian,Abolfazl (Kouros) Mohammadian,,1,1,4,0.401408,0.44152,0,0,0,3,0.000721,4,0,0,0.037291
David J. Klein,David J. Klein,,2,3,4,0.46281,0.488095,12.375,0,0,15,0.001048,8,0,0,0.068745
Nathan Orr,Nathan Orr,,1,1,5,0.394366,0.437202,0,0,0,15,0.000645,8,0,0,0.041039
Ralph C. Catalano,Ralph C. Catalano,,1,1,5,0.394366,0.437202,0,0,0,15,0.000645,8,0,0,0.041039
Raymond W. Novaco,Raymond W. Novaco,,1,1,5,0.394366,0.437202,0,0,0,15,0.000645,8,0,0,0.041039
William A. Vega,William A. Vega,,2,8,4,0.46281,0.488095,12.375,0,0,15,0.001048,8,0,0,0.068745
Richard E. Schantz,Richard E. Schantz,,1,5,4,0.433333,0.466346,0,0,0,11,0.000725,15,0,0,0.039689
John A. Zinky,John A. Zinky,,1,2,4,0.433333,0.466346,0,0,0,11,0.000725,15,0,0,0.039689
David Baker,David Baker,,1,1,4,0.462185,0.483333,0,0,0,8,0.000754,12,0,0,0.046615
Barry A. Logan,Barry A. Logan,,2,5,4,0.470085,0.495455,15.083333,0,0,8,0.00126,12,0,0,0.051069
David R. Bowling,David R. Bowling,,1,2,4,0.462185,0.483333,0,0,0,8,0.000754,12,0,0,0.046615
Bohdan Kolody,Bohdan Kolody,,2,4,4,0.46281,0.488095,12.375,0,0,15,0.001048,8,0,0,0.068745
Samuel A. Echevarria,Samuel A. Echevarria,,1,1,4,0.337349,0.379464,0,0,0,15,0.00062,8,0,0,0.027706
Patrick Panciatici,Patrick Panciatici,,1,4,4,0.433333,0.466346,0,0,0,11,0.000725,15,0,0,0.039689
Stephen C. Grace,Stephen C. Grace,,1,2,4,0.462185,0.483333,0,0,0,8,0.000754,12,0,0,0.046615
Nelson Lim,Nelson Lim,,1,2,5,0.394366,0.437202,0,0,0,15,0.000645,8,0,0,0.041039
William Perez,William Perez,,1,2,5,0.394366,0.437202,0,0,0,15,0.000645,8,0,0,0.041039
John Zinky,John Zinky,,1,1,4,0.433333,0.466346,0,0,0,11,0.000725,15,0,0,0.039689
Barry A Garst,Barry A Garst,,6,10,3,0.576923,0.677778,16.833333,0,0,10,0.002735,13,0.266667,4,0.029409
Jonathan E. Wingo,Jonathan E. Wingo,,2,4,6,0.261097,0.317,0.666667,0,0,4,0.000803,5,0,0,0.05874
Jeff Hastings,Jeff Hastings,,1,1,6,0.254453,0.301167,0,0,0,4,0.000521,5,0,0,0.034628
Donald M. Crothers,Donald M. Crothers,,1,5,2,0.511628,0.522727,0,0,0,14,0.000788,16,0,0,0.01525
Guodong Cao,Guodong Cao,,3,3,3,0.496855,0.510549,12.222222,0.114395,0.114395,27,0.00131,7,0.666667,2,0.182693
Kenneth P. Dallmeyer,Kenneth P. Dallmeyer,,1,1,4,0.401408,0.44152,0,0,0,3,0.000721,4,0,0,0.037291
Lukasz M. Szybalski,Lukasz M. Szybalski,,1,1,4,0.401408,0.44152,0,0,0,3,0.000721,4,0,0,0.037291
Tom P. Palarz,Tom P. Palarz,,1,1,4,0.401408,0.44152,0,0,0,3,0.000721,4,0,0,0.037291
Michael Wieher,Michael Wieher,,1,1,4,0.401408,0.44152,0,0,0,3,0.000721,4,0,0,0.037291
Stanley D. Smith,Stanley D. Smith,,1,1,4,0.462185,0.483333,0,0,0,8,0.000754,12,0,0,0.046615
Autar K. Mattoo,Autar K. Mattoo,,1,1,4,0.462185,0.483333,0,0,0,8,0.000754,12,0,0,0.046615
Richard Schantz,Richard Schantz,,1,1,4,0.433333,0.466346,0,0,0,11,0.000725,15,0,0,0.039689
Kelly R. Evenson,Kelly R. Evenson,,1,2,4,0.356688,0.375,0,0,0,15,0.000633,8,0,0,0.01867
John Elder,John Elder,,2,4,3,0.373333,0.39881,91.5,0,0,15,0.001152,8,0,0,0.022215
Diane Catellier,Diane Catellier,,1,2,4,0.356688,0.375,0,0,0,15,0.000633,8,0,0,0.01867
P. Nelson,P. Nelson,,1,1,1,1,1,0,0,0,16,0.001447,19,0,0,0.001526
J. Hicks,J. Hicks,,1,1,1,1,1,0,0,0,16,0.001447,19,0,0,0.001526
Anestis A. Toptsis,Anestis A. Toptsis,,1,2,4,0.401408,0.44152,0,0,0,3,0.000721,4,0,0,0.037291
Alexis N. Martinez,Alexis N. Martinez,,1,1,5,0.394366,0.437202,0,0,0,15,0.000645,8,0,0,0.041039
Brian R. Edlin,Brian R. Edlin,,2,2,4,0.46281,0.488095,12.375,0,0,15,0.001048,8,0,0,0.068745
Chi Zhou,Chi Zhou,,1,3,4,0.401408,0.44152,0,0,0,3,0.000721,4,0,0,0.037291
Weimin Xiao,Weimin Xiao,,2,5,4,0.410072,0.45614,0,0,0,3,0.001178,4,1,1,0.049493
Christina Daly,Christina Daly,,1,1,6,0.303483,0.365301,0,0,0,20,0.00071,11,0,0,0.024034
Beverly E. Law,Beverly E. Law,,1,1,6,0.303483,0.365301,0,0,0,20,0.00071,11,0,0,0.024034
David J. Harding,David J. Harding,,2,9,4,0.442029,0.478142,108.5,0,0,20,0.00121,11,0,0,0.047684
Warren B. Cohen,Warren B. Cohen,,2,10,4,0.442029,0.478142,108.5,0,0,20,0.00121,11,0,0,0.047684
