Id,Label,timeset,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,clustering,triangles,eigencentrality
Jiquan Chen,Jiquan Chen,,1,1,4,0.333333,0.378415,0,0,0,20,0.000718,11,0,0,0.02365
Robert Van Pelt,Robert Van Pelt,,1,1,4,0.333333,0.378415,0,0,0,20,0.000718,11,0,0,0.02365
Karoly Mirnics,Karoly Mirnics,,1,1,4,0.461988,0.481013,0,0.065337,0.065337,27,0.000657,7,0,0,0.107715
Vivienne A. Russell,Vivienne A. Russell,,1,1,4,0.461988,0.481013,0,0.065337,0.065337,27,0.000657,7,0,0,0.107715
Plamen Petrov,Plamen Petrov,,1,1,5,0.263889,0.283333,0,0,0,13,0.000819,4,0,0,0.004189
Phil Pollock,Phil Pollock,,1,1,5,0.263889,0.283333,0,0,0,13,0.000819,4,0,0,0.004189
Hans-Erik Andersen,Hans-Erik Andersen,,1,1,6,0.226766,0.265301,0,0,0,19,0.000811,11,0,0,0.006061
Mary Ellen Miller,Mary Ellen Miller,,1,1,6,0.226766,0.265301,0,0,0,19,0.000811,11,0,0,0.006061
Kirk Sherrill,Kirk Sherrill,,1,1,6,0.226766,0.265301,0,0,0,19,0.000811,11,0,0,0.006061
Maureen Reindl,Maureen Reindl,,1,1,5,0.394366,0.437202,0,0,0,15,0.000645,8,0,0,0.041039
Curtis E. Dyreson,Curtis E. Dyreson,,1,1,4,0.433333,0.466346,0,0,0,11,0.000725,15,0,0,0.039689
Muralidhar Medidi,Muralidhar Medidi,,1,1,4,0.433333,0.466346,0,0,0,11,0.000725,15,0,0,0.039689
Lana Dubinsky,Lana Dubinsky,,1,2,4,0.401408,0.44152,0,0,0,3,0.000721,4,0,0,0.037291
Seok Chan Koh,Seok Chan Koh,,1,2,4,0.462185,0.483333,0,0,0,8,0.000754,12,0,0,0.046615
Kenneth Gillingham,Kenneth Gillingham,,1,1,5,0.271429,0.296491,0,0,0,13,0.000809,4,0,0,0.00582
Oliver Yu,Oliver Yu,,1,1,4,0.401408,0.44152,0,0,0,3,0.000721,4,0,0,0.037291
Aris M. Onksel,Aris M. Onksel,,1,1,4,0.401408,0.44152,0,0,0,3,0.000721,4,0,0,0.037291
Aravinda Prasad Sistla,Aravinda Prasad Sistla,,1,1,4,0.401408,0.44152,0,0,0,3,0.000721,4,0,0,0.037291
Martin Ryberg,Martin Ryberg,,1,1,4,0.325,0.384615,0,0,0,5,0.000825,6,0,0,0.003268
Felix Hampe,Felix Hampe,,1,1,4,0.325,0.384615,0,0,0,5,0.000825,6,0,0,0.003268
Marisol SÃ¡nchez-GarcÃ_a,Marisol SÃ¡nchez-GarcÃ_a,,1,1,4,0.325,0.384615,0,0,0,5,0.000825,6,0,0,0.003268
Nagui M. Rouphail,Nagui M. Rouphail,,1,1,4,0.401408,0.44152,0,0,0,3,0.000721,4,0,0,0.037291
Joseph Raj,Joseph Raj,,1,1,4,0.401408,0.44152,0,0,0,3,0.000721,4,0,0,0.037291
Richard F. Keep,Richard F. Keep,,1,1,4,0.461988,0.481013,0,0.065337,0.065337,27,0.000657,7,0,0,0.107715
Kjell Harald Gjermundrod,Kjell Harald Gjermundrod,,1,1,4,0.433333,0.466346,0,0,0,11,0.000725,15,0,0,0.039689
David Anderson,David Anderson,,1,1,5,0.270833,0.297756,0,0,0,24,0.000815,15,0,0,0.005636
Fatemeh Vafaee,Fatemeh Vafaee,,1,1,4,0.401408,0.44152,0,0,0,3,0.000721,4,0,0,0.037291
Don Hayes,Don Hayes,,1,1,3,0.482759,0.5,0,0,0,6,0.000738,9,0,0,0.018736
Timothy Mullett,Timothy Mullett,,1,1,3,0.482759,0.5,0,0,0,6,0.000738,9,0,0,0.018736
Mark Bonnell,Mark Bonnell,,1,1,3,0.482759,0.5,0,0,0,6,0.000738,9,0,0,0.018736
Robert T. Maynard,Robert T. Maynard,,1,1,3,0.482759,0.5,0,0,0,6,0.000738,9,0,0,0.018736
A. S. Buist,A. S. Buist,,1,1,3,0.482759,0.5,0,0,0,6,0.000738,9,0,0,0.018736
Sohvi Leih,Sohvi Leih,,1,1,7,0.242131,0.303833,0,0,0,17,0.00078,5,0,0,0.027259
Andreas Hoepner,Andreas Hoepner,,1,1,7,0.242131,0.303833,0,0,0,17,0.00078,5,0,0,0.027259
Sean Lux,Sean Lux,,1,1,7,0.242131,0.303833,0,0,0,17,0.00078,5,0,0,0.027259
Irena Timofeeva,Irena Timofeeva,,1,1,7,0.242131,0.303833,0,0,0,17,0.00078,5,0,0,0.027259
Shan Lu,Shan Lu,,1,1,2,0.518519,0.535714,0,0,0,0,0.000674,0,0,0,0.010416
Richard Mack,Richard Mack,,1,1,2,0.518519,0.535714,0,0,0,0,0.000674,0,0,0,0.010416
Nyal E. Borges,Nyal E. Borges,,1,1,3,0.482759,0.5,0,0,0,6,0.000738,9,0,0,0.018736
Stephanie A. Rose,Stephanie A. Rose,,1,1,3,0.482759,0.5,0,0,0,6,0.000738,9,0,0,0.018736
Joseph Conigliaro,Joseph Conigliaro,,1,1,3,0.482759,0.5,0,0,0,6,0.000738,9,0,0,0.018736
Jonathan P Doh,Jonathan P Doh,,1,2,7,0.242131,0.303833,0,0,0,17,0.00078,5,0,0,0.027259
Michael E. Cummings,Michael E. Cummings,,1,1,7,0.242131,0.303833,0,0,0,17,0.00078,5,0,0,0.027259
Daniel P. Forbes,Daniel P. Forbes,,1,1,7,0.242131,0.303833,0,0,0,17,0.00078,5,0,0,0.027259
Paul M Vaaler,Paul M Vaaler,,1,1,7,0.242131,0.303833,0,0,0,17,0.00078,5,0,0,0.027259
Vijay P. Suchdeo,Vijay P. Suchdeo,,1,1,4,0.333333,0.378415,0,0,0,20,0.000718,11,0,0,0.02365
Hua Tsen,Hua Tsen,,1,1,2,0.511628,0.522727,0,0,0,14,0.000788,16,0,0,0.01525
Sherry Ryan,Sherry Ryan,,1,1,5,0.239316,0.261012,0,0,0,15,0.000736,8,0,0,0.003545
Melissa Estrada-Maravilla,Melissa Estrada-Maravilla,,1,1,5,0.239316,0.261012,0,0,0,15,0.000736,8,0,0,0.003545
W. Adams,W. Adams,,1,1,3,0.345912,0.357576,0,0,0,8,0.000714,12,0,0,0.009639
Jared J. Stewart,Jared J. Stewart,,1,3,4,0.462185,0.483333,0,0,0,8,0.000754,12,0,0,0.046615
Daniel Thomas Cook,Daniel Thomas Cook,,1,1,2,0.538462,0.571429,0,0,0,23,0.0008,17,0,0,0.004741
Jerry A. Cooper,Jerry A. Cooper,,1,2,3,0.5,0.517544,0,0,0,1,0.000703,2,0,0,0.013083
Peter R. Johnston,Peter R. Johnston,,1,2,3,0.5,0.517544,0,0,0,1,0.000703,2,0,0,0.013083
Mark Chong,Mark Chong,,1,1,7,0.242131,0.303833,0,0,0,17,0.00078,5,0,0,0.027259
David L. Deephouse,David L. Deephouse,,1,1,7,0.242131,0.303833,0,0,0,17,0.00078,5,0,0,0.027259
Sabine Einwiller,Sabine Einwiller,,1,1,7,0.242131,0.303833,0,0,0,17,0.00078,5,0,0,0.027259
Lauren A. Oâ€™Donnell,Lauren A. Oâ€™Donnell,,1,1,4,0.461988,0.481013,0,0.065337,0.065337,27,0.000657,7,0,0,0.107715
Christopher K. Surratt,Christopher K. Surratt,,1,1,4,0.461988,0.481013,0,0.065337,0.065337,27,0.000657,7,0,0,0.107715
SlavomÃ_r AdamÄçÃ_k,SlavomÃ_r AdamÄçÃ_k,,1,1,4,0.382353,0.442308,0,0,0,5,0.000811,6,0,0,0.004842
Venu Chakilam,Venu Chakilam,,2,2,4,0.382353,0.474359,0,0,0,31,0.001207,1,1,1,0.008627
Benjamin Wah,Benjamin Wah,,1,1,4,0.351351,0.416667,0,0,0,31,0.000753,1,0,0,0.004447
Ricardo Baeza-Yates,Ricardo Baeza-Yates,,1,1,4,0.351351,0.416667,0,0,0,31,0.000753,1,0,0,0.004447
Teresa C. Frohman,Teresa C. Frohman,,1,2,5,0.306748,0.364,0,0,0,4,0.000601,5,0,0,0.062425
Marilee J. Brown,Marilee J. Brown,,1,1,5,0.306748,0.364,0,0,0,4,0.000601,5,0,0,0.062425
Sara Swaminathan,Sara Swaminathan,,1,1,5,0.306748,0.364,0,0,0,4,0.000601,5,0,0,0.062425
William Adams,William Adams,,4,4,3,0.359477,0.393939,108.75,0,0,8,0.002561,12,0,0,0.020898
Todd Rosenstiel,Todd Rosenstiel,,1,1,4,0.2657,0.283333,0,0,0,8,0.000761,12,0,0,0.004391
Angela Brightwell,Angela Brightwell,,1,1,4,0.2657,0.283333,0,0,0,8,0.000761,12,0,0,0.004391
Fenghua Chen,Fenghua Chen,,1,1,4,0.461988,0.481013,0,0.065337,0.065337,27,0.000657,7,0,0,0.107715
Coleman A. Wenzl,Coleman A. Wenzl,,1,1,4,0.462185,0.483333,0,0,0,8,0.000754,12,0,0,0.046615
Humfredo Marcano-Vega,Humfredo Marcano-Vega,,1,1,4,0.333333,0.378415,0,0,0,20,0.000718,11,0,0,0.02365
